Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"ADELEYE HOME ECONOMICS CENTRE, Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0803 430 5567,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1436"",""Read more"")"
"AFRICAN CHURCH PRY SCH. COMPUTER CENTRE, Idiagbon",State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0803-550-5934,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2632"",""Read more"")"
AJEABO COMPUTER CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, , 08056113696,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1444"",""Read more"")"
"AJEABO COMPUTER CENTRE,  Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0805 611 3696  or  0702 962 3568,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2273"",""Read more"")"
ALIMOSHO COMPUTER COLLEGE,State owned,Alimosho,Handcrafts/Home Econs./Computer Centres, , 08035626487,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1396"",""Read more"")"
AREGBE HOME ECONOMICS CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, , 08023115760,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1449"",""Read more"")"
ART & CRAFT CENTRE,State owned,Apapa,Handcrafts/Home Econs./Computer Centres, , 08055378007,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1389"",""Read more"")"
ART & CRAFT CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08023611075,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1453"",""Read more"")"
ART & CRAFT CENTRE II,State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 08056150112,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1409"",""Read more"")"
"ART & CRAFT CENTRE, Papa, Epe",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0703-860-8999,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2574"",""Read more"")"
"ART AND CRAFT CENTRE, Ojo",State owned,Ojo,Handcrafts/Home Econs./Computer Centres, , 0805 932 7770  OR  0709 014 8596,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2350"",""Read more"")"
"BARUWA COMPUTER CENTRE,  Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0803 234 2997  or  0702 962 3566,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1445"",""Read more"")"
"BARUWA HOME ECONOMICS CENTRE,  Ijeshatedo",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0803 615 3580  OR  0702 962 3567,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1437"",""Read more"")"
"BINEY HOME ECONOMICS CENTRE, Mosalasi",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0803 822 1026  ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1438"",""Read more"")"
