Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"2ND AVENUE NUR/PRY  SCHOOL,  Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 2ndavenuesch@lagosschoolsonline.com," 0802 912 9668,   0808 398 5769","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2170"",""Read more"")"
"3RD AVENUE PRIMARY SCHOOL, Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 3rdavenuesch@lagosschoolsonline.com," 0803 360 8236,0802 951 3848","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/222"",""Read more"")"
"4TH AVENUE NUR/PRY SCHL,  Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 4thaveschft@lagosschoolsonline.com," 0803 713 8358, 0802 947 6487","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/198"",""Read more"")"
"512 ROAD NUR/PRY SCHOOL,   Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 512rdprysch@lagosschoolsonline.com," 0803 675 0580,0802 353 6652","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/197"",""Read more"")"
"5TH AVENUE NUR/PRY SCHOOL, Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 5thavenuesch@lagosschoolsonline.com," 0803 442 7089,0802 338 8827","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/196"",""Read more"")"
"7TH AVENUE NUR/PRY SCHOOL,  Festac Town",State owned,Amuwo-Odofin,Nursery/Primary, 7thavenuesch@lagosschoolsonline.com,"  08077555793,  0802 403 2131","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/221"",""Read more"")"
"A & T SCHOOLS, Tabon-Tabon",Privately owned,Agege,Nursery/Primary, stellauchenna2010@yahoo.com," 0808 419 8823,  0803 325 8098","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3080"",""Read more"")"
A PINE APPLE N/P SCHOOL,Privately owned,,Nursery/Primary, , 07058873536,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105284"",""Read more"")"
"A PRINCE WITH GOD NURSERY & PRIMARY SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, aprincegodschool@yahoo.com," 01-811 3418,     0803 567 8910,     0813 984 7386     &    0808 247 8796","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3926"",""Read more"")"
"A.D.S. MODEL NURSERY & PRIMARY SCHOOL, Badagry",State owned, Badagry ,Nursery/Primary, adsmodelnurpryschlbdg@lagosschoolsonline.com, 0803 381 9546,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9476"",""Read more"")"
"A.U.D PRY SCHOOL, Epe",State owned,Epe,Nursery/Primary, ansudeenepe@lagosschoolsonline.com, 0703 037 5622,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2681"",""Read more"")"
"AANUOLUWAPO PRIMARY SCHOOL,  Oke-Odo",State owned,Alimosho,Nursery/Primary, aanuoluwapopry@lagosschoolsonline," 0802 856 9643, 0807 456 0078","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/140"",""Read more"")"
"AARESTHER DIVINE NUR/PRY SCHOOL, Ajao Estate",Privately owned,Oshodi-Isolo,Nursery/Primary, aarestherdivine@yahoo.com," 0806 237 6305,  or  01-791 4643","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3114"",""Read more"")"
