Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"ANIFA PREPARATORY CENTRE (An Educational support unit), Ilupeju",Privately owned, Mushin,Vocational/Remedial, steve@anifaprep.com," 0803 327 4472,  0802 303 3798","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49603"",""Read more"")"
CENTER FOR VOCATIONAL STUDIES,State owned, Ikeja,Vocational/Remedial, , ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1413"",""Read more"")"
"COMMUNITY VOCATIONAL CENTER 1,  Agege",State owned,Agege,Vocational/Remedial, , 0803 349 1248,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2117"",""Read more"")"
"COMMUNITY VOCATIONAL CENTER 3, Dopemu",State owned,Agege,Vocational/Remedial, , 0803 072 6188  or  0702 904 9983,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2116"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE,  Festac",State owned,Amuwo-Odofin,Vocational/Remedial, , 0802 306 6802,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2879"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE,  Ikosi Ketu",State owned,Kosofe,Vocational/Remedial, ikosicommunity@lagosschoolsonline.com," 0803 803 2481, 0815 602 7270","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2020"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE, Ilupeju",State owned, Mushin,Vocational/Remedial, , 0802 849 4000,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2272"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE, Itire",State owned, Mushin,Vocational/Remedial, , 0805 032 6465  or  0702 921 9956,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2288"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE, Ojo",State owned,Ojo,Vocational/Remedial, commvocational@lagosschoolsonline.com, 0803 452 2244,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2490"",""Read more"")"
"COMMUNITY VOCATIONAL CENTRE, Oshodi",State owned,Oshodi-Isolo,Vocational/Remedial, comvoccenosh@lagosschoolsonline.com," 0807 456 3250,   0803 305 9220","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2463"",""Read more"")"
